SegmentID,M,Yr,D,WktGeom,street,Vol,fromSt,toSt
196368,6,2023,30,POINT (1023055.8409196973 185039.53691861132),SUTTER AVENUE,6807,Dead End,North Conduit Avenue
196368,6,2023,27,POINT (1023055.8409196973 185039.53691861132),SUTTER AVENUE,6099,Dead End,North Conduit Avenue
189271,6,2022,14,POINT (1000124.7052589084 208538.8773739439),BORDEN AVENUE BRIDGE,15761,Borden Avenue,Dead end
65967,6,2022,11,POINT (1000731.5336691153 209191.80335594836),HUNTERS POINT BRIDGE,369,Dead End,Dutch Kills Shoreline
170400,1,2022,27,POINT (1034954.4800069059 197219.63500045525),86 AVENUE,3040,Queens Boulevard,139 Street
138766,4,2023,27,POINT (1035854.6105769284 200112.1762885384),GRAND CENTRAL PARKWAY,89717,Dead End,Dead end
74151,3,2024,2,POINT (1013521.488203161 203109.65411680314),69 STREET,7910,58 Avenue,58 Road
98532,3,2023,6,POINT (1049945.3061012689 216034.33471385224),46 AVENUE,2797,218 Street,Springfield Boulevard
98532,3,2023,7,POINT (1049945.3061012689 216034.33471385224),46 AVENUE,2973,218 Street,Springfield Boulevard
65967,6,2022,26,POINT (1000731.5336691153 209191.80335594836),HUNTERS POINT BRIDGE,302,Dead End,Dutch Kills Shoreline
67310,4,2022,24,POINT (1001597.1926700982 215903.61032585026),21 STREET,21006,36 Avenue,37 Avenue
117626,6,2023,8,POINT (1057869.2961045634 220710.07433035847),NORTHERN BOULEVARD,15888,Morgan Street,Glenwood Street
177615,5,2022,15,POINT (1028931.8143046284 215115.26618027306),ROOSEVELT AVENUE BRIDGE,17815,Flushing Line,Flushing Line
68884,8,2023,7,POINT (1007201.1820997201 223539.69446798888),21 STREET,6623,Ditmars Boulevard,22 Road
77104,5,2022,18,POINT (1015029.50289154 223906.76034060976),RIKERS ISLAND BRIDGE,5486,Rikers Is Bridge,Dead end
62497,6,2022,14,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,75492,Hook Creek Shoreline,Dead end
66377,3,2024,19,POINT (1004728.103907039 207345.1502300397),BORDEN AVENUE,54168,Long Island Expwy Et 17 E-w Eb,Long Island Expwy Et 17 E-w Eb
115413,5,2023,20,POINT (1007089.8422828304 199004.03661244072),FLUSHING AVENUE,0,Dead End,Troutman Street
55963,3,2022,19,POINT (1030173.7064668698 199638.58645494783),77 ROAD,2717,Austin Street,Kew Forest Lane
156596,5,2022,11,POINT (1023913.269033063 183538.80365108862),LINDEN BOULEVARD,8380,Dead End,79 Street
189271,6,2022,17,POINT (1000124.7052589084 208538.8773739439),BORDEN AVENUE BRIDGE,16116,Borden Avenue,Dead end
68884,8,2023,6,POINT (1007201.1820997201 223539.69446798888),21 STREET,5695,Ditmars Boulevard,22 Road
53435,3,2022,18,POINT (1029932.6631676898 199586.14595438848),AUSTIN STREET,3513,77 Road,77 Avenue
66424,5,2022,4,POINT (1005691.9480838224 200324.61319259694),GRAND STREET BRIDGE,6854,Dead End,Grand Avenue
77104,7,2023,6,POINT (1015029.50289154 223906.76034060976),RIKERS ISLAND BRIDGE,6400,Rikers Is Bridge,Dead end
74151,3,2024,4,POINT (1013521.488203161 203109.65411680314),69 STREET,8598,58 Avenue,58 Road
75814,6,2024,8,POINT (1012773.574505262 214116.50164328783),NORTHERN BOULEVARD,23830,69 Street,70 Street
66081,2,2022,2,POINT (1001373.9903285656 208268.20790138244),BORDEN AVENUE,8537,30 Place,30 Street
75814,6,2024,6,POINT (1012773.574505262 214116.50164328783),NORTHERN BOULEVARD,22745,69 Street,70 Street
62497,6,2022,27,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,49093,Hook Creek Shoreline,Dead end
189271,6,2022,24,POINT (1000124.7052589084 208538.8773739439),BORDEN AVENUE BRIDGE,16745,Borden Avenue,Dead end
115413,5,2023,22,POINT (1007089.8422828304 199004.03661244072),FLUSHING AVENUE,0,Dead End,Troutman Street
189271,6,2022,28,POINT (1000124.7052589084 208538.8773739439),BORDEN AVENUE BRIDGE,1752,Borden Avenue,Dead end
67310,11,2022,6,POINT (1001597.1926700982 215903.61032585026),21 STREET,15747,36 Avenue,37 Avenue
170400,1,2022,26,POINT (1034954.4800069059 197219.63500045525),86 AVENUE,3197,Queens Boulevard,139 Street
62497,6,2022,11,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,58812,Hook Creek Shoreline,Dead end
62497,6,2022,24,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,67546,Hook Creek Shoreline,Dead end
74363,1,2024,8,POINT (1014378.8719643257 204625.60090671887),GRAND AVENUE,5291,72 Street,Mazeau Street
98532,3,2023,1,POINT (1049945.3061012689 216034.33471385224),46 AVENUE,3343,218 Street,Springfield Boulevard
74363,1,2024,7,POINT (1014378.8719643257 204625.60090671887),GRAND AVENUE,3986,72 Street,Mazeau Street
112812,3,2024,28,POINT (1038399.5941320914 188978.11141474498),111 AVENUE,5011,139 Street,140 Street
9000515,1,2024,28,POINT (1041074.973834683 193690.47360957888),160 STREET,3585,Dead End,Dead end
77104,4,2022,12,POINT (1015029.50289154 223906.76034060976),RIKERS ISLAND BRIDGE,1049,Rikers Is Bridge,Dead end
253492,1,2024,6,POINT (1018184.6338783544 207781.08927497457),BROADWAY,4403,Queens Boulevard Line,Queens Boulevard
59520,2,2023,1,POINT (1047210.7050830991 187542.95138537127),171 STREET,1283,120 Avenue,Baisley Boulevard
